              3D.DAT Grid Points
      X           Y        Longitude    Latitude
    (km)        (km)        (deg E)     (deg N)
     251.733     818.299     335.125      67.750
     257.001     817.813     335.250      67.750
     262.269     817.338     335.375      67.750
     267.538     816.873     335.500      67.750
     272.809     816.418     335.625      67.750
     278.080     815.974     335.750      67.750
     283.352     815.541     335.875      67.750
     288.625     815.118     336.000      67.750
     293.899     814.705     336.125      67.750
     299.173     814.303     336.250      67.750
     304.449     813.911     336.375      67.750
     309.725     813.529     336.500      67.750
     315.002     813.158     336.625      67.750
     320.279     812.798     336.750      67.750
     325.558     812.448     336.875      67.750
     330.837     812.108     337.000      67.750
     336.116     811.779     337.125      67.750
     341.396     811.460     337.250      67.750
     346.677     811.151     337.375      67.750
     351.959     810.853     337.500      67.750
     357.241     810.566     337.625      67.750
     362.523     810.289     337.750      67.750
     367.807     810.022     337.875      67.750
     373.090     809.766     338.000      67.750
     378.375     809.520     338.125      67.750
     383.659     809.285     338.250      67.750
     388.944     809.060     338.375      67.750
     394.230     808.846     338.500      67.750
     399.516     808.642     338.625      67.750
     404.802     808.449     338.750      67.750
     410.089     808.266     338.875      67.750
     415.376     808.093     339.000      67.750
     420.663     807.931     339.125      67.750
     425.951     807.779     339.250      67.750
     431.239     807.638     339.375      67.750
     436.527     807.507     339.500      67.750
     441.816     807.387     339.625      67.750
     447.105     807.277     339.750      67.750
     452.394     807.178     339.875      67.750
     457.683     807.089     340.000      67.750
     462.972     807.010     340.125      67.750
     468.261     806.943     340.250      67.750
     473.551     806.885     340.375      67.750
     478.841     806.838     340.500      67.750
     484.130     806.801     340.625      67.750
     489.420     806.775     340.750      67.750
     494.710     806.759     340.875      67.750
     500.000     806.754     341.000      67.750
     505.290     806.759     341.125      67.750
     510.580     806.775     341.250      67.750
     515.870     806.801     341.375      67.750
     521.159     806.838     341.500      67.750
     526.449     806.885     341.625      67.750
     531.739     806.943     341.750      67.750
     537.028     807.010     341.875      67.750
     542.317     807.089     342.000      67.750
     547.607     807.178     342.125      67.750
     552.895     807.277     342.250      67.750
     558.184     807.387     342.375      67.750
     563.473     807.507     342.500      67.750
     568.761     807.638     342.625      67.750
     574.049     807.779     342.750      67.750
     579.337     807.931     342.875      67.750
     584.624     808.093     343.000      67.750
     589.911     808.266     343.125      67.750
     595.198     808.449     343.250      67.750
     600.484     808.642     343.375      67.750
     605.770     808.846     343.500      67.750
     611.056     809.060     343.625      67.750
     616.341     809.285     343.750      67.750
     621.625     809.520     343.875      67.750
     626.910     809.766     344.000      67.750
     632.193     810.022     344.125      67.750
     637.477     810.289     344.250      67.750
     642.759     810.566     344.375      67.750
     648.041     810.853     344.500      67.750
     653.323     811.151     344.625      67.750
